DATE,BRAPFCEQDSMEI
1996-01-01,130162806365.367
1996-04-01,134211628407.187
1996-07-01,140548458712.27103
1996-10-01,152018842815.175
1997-01-01,152374800182.827
1997-04-01,156040608440.726
1997-07-01,155785465344.5
1997-10-01,157605054331.947
1998-01-01,161059240997.079
1998-04-01,160909260246.965
1998-07-01,162197481720.80698
1998-10-01,158765022535.149
1999-01-01,168842117933.235
1999-04-01,172380240535.127
1999-07-01,177829226243.752
1999-10-01,184480837387.887
2000-01-01,179982815987.79102
2000-04-01,192127566222.728
2000-07-01,199123336363.947
2000-10-01,203292229525.534
2001-01-01,207347477489.254
2001-04-01,211742155318.416
2001-07-01,210795942546.03403
2001-10-01,213615102846.296
2002-01-01,220277025158.345
2002-04-01,227571166528.829
2002-07-01,233050741195.31302
2002-10-01,240637079117.512
2003-01-01,262499166575.24698
2003-04-01,262497791901.215
2003-07-01,266529359710.064
2003-10-01,270934098913.47397
2004-01-01,279921998137.015
2004-04-01,287720552160.20197
2004-07-01,300679255918.911
2004-10-01,310373188983.872
2005-01-01,314769647859.97003
2005-04-01,324686244096.504
2005-07-01,331630339672.972
2005-10-01,342209681470.554
2006-01-01,351294881526.983
2006-04-01,358420278154.024
2006-07-01,367550123689.593
2006-10-01,378950264129.401
2007-01-01,392020051750.266
2007-04-01,402871458098.70996
2007-07-01,408571946794.851
2007-10-01,425292550756.174
2008-01-01,443399483891.12195
2008-04-01,458903147745.74
2008-07-01,476421523778.937
2008-10-01,478785880584.201
2009-01-01,486480924627.99005
2009-04-01,507693113290.344
2009-07-01,529321041922.683
2009-10-01,541538110458.98303
2010-01-01,558474729095.189
2010-04-01,573163232215.496
2010-07-01,592868942325.4039
2010-10-01,615660095363.912
2011-01-01,635016171744.688
2011-04-01,653998036180.745
2011-07-01,666056536499.885
2011-10-01,682743254974.682
2012-01-01,706649696133.328
2012-04-01,725413666116.615
2012-07-01,751908862798.08
2012-10-01,772861774551.9769
2013-01-01,789471267021.4629
2013-04-01,814943223869.662
2013-07-01,833132772069.016
2013-10-01,852874735739.86
2014-01-01,885198049231.2959
2014-04-01,900289275993.48
2014-07-01,913809407212.6481
2014-10-01,939107267662.5759
2015-01-01,948382805749.715
2015-04-01,952688143657.501
2015-07-01,960792588244.2301
2015-10-01,973329462048.556
2016-01-01,988675667649.339
2016-04-01,1002728421527.19
2016-07-01,1015668749390.29
2016-10-01,1021063162533.18
2017-01-01,1034716813319.0
2017-04-01,1055094975645.96
2017-07-01,1068957570021.6201
2017-10-01,1088489642013.41
2018-01-01,1107583558009.41
2018-04-01,1122798300783.08
2018-07-01,1140658994454.9001
2018-10-01,1154760145752.6
2019-01-01,1180094407515.27
2019-04-01,1203793920449.0999
2019-07-01,1211567124732.13
2019-10-01,1218123546303.5
2020-01-01,1220561378654.2998
2020-04-01,1079379199922.18
2020-07-01,1167048123303.2202
2020-10-01,1229427026120.3
2021-01-01,1266048137622.45
2021-04-01,1300539725513.49
2021-07-01,1336976951660.42
2021-10-01,1387990979203.6501
2022-01-01,1429545155807.0598
2022-04-01,1539619102963.1199
